domain,question,answer
tourism,Best place to see mountain gorillas?,Volcanoes National Park in Musanze offers gorilla trekking.
tourism,Can you tell me best place to see mountain gorillas?,Volcanoes National Park in Musanze offers gorilla trekking. (2025 info)
tourism,What's special about Nyungwe Forest in Rwanda?,Home to chimpanzees and East Africa's only canopy walk (160m long).
tourism,What's special about Nyungwe Forest?,Home to chimpanzees and East Africa's only canopy walk (160m long). Details: Home to chimpanzees and East Africa's only canopy walk (160m long).
tourism,Can I do a safari in Rwanda?,"Yes, Akagera National Park has lions, elephants and 500+ bird species."
tourism,Can I do a safari in Rwanda in Rwanda?,"Yes, Akagera National Park has lions, elephants and 500+ bird species."
tourism,Top cultural village to visit?,Iby'Iwacu Cultural Village near Volcanoes NP shows traditional Rwandan life. Details: Iby'Iwacu Cultural Village near Volcanoes NP shows traditional Rwandan life.
tourism,Where would I find top cultural village to visit?,"In Rwanda, iby'iwacu cultural village near volcanoes np shows traditional rwandan life."
tourism,Where to see traditional Intore dance in Rwanda?,At the Kandt House Museum in Kigali or during festivals. Details: At the Kandt House Museum in Kigali or during festivals.
tourism,Can you tell me where to see traditional intore dance?,At the Kandt House Museum in Kigali or during festivals. (2025 info)
tourism,Can you tell me best time to visit rwanda?,June-September (dry season) for gorilla trekking and hiking.
tourism,Where would I find best time to visit rwanda?,June-September (dry season) for gorilla trekking and hiking.
tourism,Can you tell me entry fee for volcanoes national park?,"In Rwanda, $100 for foreigners, 15,000 rwf for rwandans (2025 rates)."
tourism,Where would I find entry fee for volcanoes national park?,"$100 for foreigners, 15,000 RWF for Rwandans (2025 rates)."
tourism,How long is gorilla trekking?,"In Rwanda, 2-8 hours depending on gorilla family location."
tourism,Can you tell me how long is gorilla trekking?,2-8 hours depending on gorilla family location. (2025 info)
tourism,Can kids do gorilla trekking?,Minimum age is 15 for gorilla permits.
tourism,What to pack for Nyungwe canopy walk in Rwanda?,"Sturdy shoes, rain jacket, and camera - it's 70m above ground!"
tourism,Can you tell me what to pack for nyungwe canopy walk?,"Sturdy shoes, rain jacket, and camera - it's 70m above ground!. Details: Sturdy shoes, rain jacket, and camera - it's 70m above ground!"
tourism,Can you tell me where to see golden monkeys?,Also in Volcanoes National Park - cheaper than gorilla permits. (2025 info)
tourism,Can you tell me best hiking trail near kigali?,Mount Kigali Trail offers great city views (2-3 hour hike).
tourism,Best hiking trail near Kigali?,Mount Kigali Trail offers great city views (2-3 hour hike). (2025 info)
education,Where would I find top university in rwanda?,University of Rwanda is the largest and highest-ranked. Details: University of Rwanda is the largest and highest-ranked.
education,Top university in Rwanda in Kigali?,"In Rwanda, university of rwanda is the largest and highest-ranked."
education,Where to study computer science in Rwanda?,University of Rwanda's College of Science and Technology in Nyarugenge.
